num_hidden_neurons,l_rate,weights_distr,batch_size,act_f,lambda,optimizer,k,score
"[5, 5, 5]",0.01,gaussian,169,tanh,0.001,"('trivial', 0.0)",3,0.6507359122415975
[3],0.001,gaussian,32,relu,0.001,"('trivial', 0.5)",3,0.6508676761325027
"[5, 5]",0.01,gaussian,169,tanh,0.001,"('trivial', 0.0)",3,0.6509014885895992
"[5, 5]",0.001,gaussian,16,softplus,0.0,"('trivial', 0.5)",3,0.65124364112013
[3],0.01,gaussian,64,relu,0.0,"('trivial', 0.0)",3,0.651762914815782
[3],0.001,gaussian,32,tanh,0.001,"('nesterov', 0.5)",3,0.6524063595437396
[100],0.001,gaussian,169,relu,0.0,"('trivial', 0.5)",3,0.6527678349948826
"[100, 100]",0.001,gaussian,169,relu,0.001,"('nesterov', 0.5)",3,0.6527877045482166
[3],0.001,gaussian,32,softplus,0.0,"('trivial', 0.5)",3,0.6531663460427436
[5],0.001,gaussian,32,softplus,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6532992216758183
[3],0.001,gaussian,64,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.6534445353081106
[3],0.01,gaussian,32,logistic,0.001,"('nesterov', 0.5)",3,0.6534460861233765
[3],0.001,gaussian,4,relu,0.0,"('trivial', 0.0)",3,0.6535887783121717
"[5, 5, 5]",0.001,gaussian,16,relu,0.0,"('trivial', 0.0)",3,0.6540729919426426
[5],0.001,gaussian,64,tanh,0.001,"('trivial', 0.5)",3,0.6540760510326495
[100],0.001,gaussian,32,relu,0.0,"('trivial', 0.0)",3,0.6541008908795558
"[100, 100]",0.001,gaussian,169,relu,0.0,"('nesterov', 0.5)",3,0.6541813407646112
[3],0.001,gaussian,8,softplus,0.001,"('trivial', 0.5)",3,0.6542120383362183
"[5, 5, 5]",0.4,gaussian,64,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.6543591743768679
"[200, 200]",0.001,gaussian,64,relu,0.001,"('trivial', 0.0)",3,0.6546802306119059
"[5, 5]",0.001,gaussian,32,relu,0.001,"('trivial', 0.0)",3,0.6549596287016112
"[100, 100]",0.001,gaussian,169,relu,0.001,"('trivial', 0.5)",3,0.6549783605144545
"[5, 5]",0.001,gaussian,64,tanh,0.0,"('trivial', 0.0)",3,0.6554854033496373
[3],0.001,gaussian,8,tanh,0.0,"('trivial', 0.5)",3,0.6554885613934424
[3],0.001,gaussian,64,logistic,0.0,"('nesterov', 0.5)",3,0.65561851060914
