l_rate,num_hidden_neurons,weights_distr,batch_size,act_f,lambda,optimizer,k,score
0.001,"[150, 150]",gaussian,4,relu,0.0,"('nesterov', 0.9)",5,1.6144627063418906
0.005,"[100, 100]",gaussian,8,tanh,0.0001,"('nesterov', 0.9)",5,1.6171942044676162
0.001,"[200, 200]",gaussian,4,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6187376083794145
0.005,"[100, 100]",gaussian,124,relu,0.0,"('nesterov', 0.5)",5,1.6190873528326777
0.001,"[100, 100]",uniform,1,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6191055072997669
0.001,"[200, 200]",gaussian,8,relu,0.0001,"('trivial', 0.9)",5,1.6193987928113551
0.005,"[100, 100]",gaussian,512,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6195084655135057
0.001,"[100, 100]",uniform,124,relu,0.01,"('adam', 0.9, 0.999, 1e-08)",8,1.6217769325365359
0.0005,"[200, 200]",gaussian,124,relu,0.0,"('trivial', 0.9)",5,1.622032934224455
0.0005,"[200, 200]",gaussian,124,relu,0.0001,"('trivial', 0.9)",5,1.622767450688483
0.001,"[100, 100]",gaussian,2,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.623105752479395
0.0005,"[150, 150]",gaussian,124,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6231538210304208
0.001,"[100, 100]",gaussian,1,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6245704251733393
0.0005,"[200, 200]",gaussian,124,relu,0.0001,"('nesterov', 0.9)",5,1.6250441028278853
0.0005,"[150, 150]",gaussian,124,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6265120405052833
0.0005,"[150, 150]",gaussian,4,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6265365729805947
0.01,"[100, 100]",uniform,32,relu,0.0,"('trivial', 0.0)",8,1.6265649772507185
0.0001,"[100, 100]",gaussian,8,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6276307935293417
0.001,"[200, 200]",gaussian,1,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6277545036390957
0.005,"[150, 150]",gaussian,4,relu,0.0001,"('trivial', 0.0)",5,1.6278237289243127
0.001,"[200, 200]",gaussian,1,relu,0.0001,"('trivial', 0.0)",5,1.6283818402629282
0.0001,"[100, 100]",uniform,4,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.628923024135699
0.0005,"[200, 200]",gaussian,124,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6291289633564932
0.0005,"[200, 200]",gaussian,124,relu,0.0,"('nesterov', 0.9)",5,1.6301650236979681
0.0005,"[200, 200]",gaussian,4,relu,0.0001,"('trivial', 0.0)",5,1.6320213719519523
0.005,"[150, 150]",gaussian,8,relu,0.0001,"('nesterov', 0.5)",5,1.6329697117215205
0.0005,"[100, 100]",gaussian,124,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6334637321473455
0.001,"[200, 200]",gaussian,1,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6343216627859742
0.001,"[100, 100]",gaussian,124,tanh,0.001,"('nesterov', 0.9)",8,1.6343499660321203
0.001,"[200, 200]",gaussian,124,relu,0.0001,"('trivial', 0.9)",5,1.6348444929520691
0.005,"[200, 200]",gaussian,8,relu,0.0001,"('trivial', 0.0)",5,1.634979779194048
0.0001,"[100, 100]",uniform,8,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6353087310126884
0.0005,"[200, 200]",gaussian,8,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.635486234453989
0.001,"[100, 100]",gaussian,4,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6358717746404117
0.0005,"[200, 200]",gaussian,1,relu,0.0001,"('trivial', 0.5)",5,1.6359396927064165
0.001,"[200, 200]",gaussian,8,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.636708640502134
0.001,"[100, 100]",gaussian,124,relu,0.0001,"('nesterov', 0.9)",5,1.6377301819370431
0.0005,"[150, 150]",gaussian,4,relu,0.0,"('trivial', 0.9)",5,1.6379698999918069
0.001,"[100, 100]",uniform,124,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",8,1.638825108870693
0.005,"[200, 200]",gaussian,124,relu,0.0,"('trivial', 0.0)",5,1.6396721676218116
0.0005,"[200, 200]",gaussian,8,relu,0.0001,"('trivial', 0.0)",5,1.6401843673142136
0.0005,"[200, 200]",gaussian,124,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6404523014008228
0.001,"[100, 100]",gaussian,2,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6407779057890106
0.005,"[150, 150]",gaussian,4,relu,0.0,"('trivial', 0.0)",5,1.6420071993289909
0.001,"[100, 100]",gaussian,124,relu,0.0,"('trivial', 0.9)",5,1.6428323256663724
0.01,"[100, 100]",uniform,124,relu,0.0,"('trivial', 0.0)",8,1.6462223737033408
0.005,"[200, 200]",gaussian,124,tanh,0.0001,"('trivial', 0.5)",5,1.6469210043635407
0.005,"[150, 150]",gaussian,124,tanh,0.0,"('nesterov', 0.5)",5,1.6476996931170185
0.001,"[100, 100]",uniform,1,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.648427323720392
0.005,"[100, 100]",gaussian,8,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6495815639580436
0.0005,"[150, 150]",gaussian,124,relu,0.0001,"('nesterov', 0.9)",5,1.6500503140906662
0.0005,"[150, 150]",gaussian,124,relu,0.0,"('trivial', 0.9)",5,1.6509272993399189
0.001,"[100, 100]",uniform,2,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6519732284386637
0.0001,"[100, 100]",gaussian,2,tanh,0.0,"('trivial', 0.5)",8,1.6519869202832838
0.001,"[200, 200]",gaussian,512,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6526277046818492
0.0005,"[100, 100]",gaussian,124,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.65282180925024
0.0005,"[200, 200]",gaussian,8,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6530552111931485
0.0005,"[150, 150]",gaussian,1,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6542652050257942
0.001,"[200, 200]",gaussian,8,relu,0.0001,"('nesterov', 0.9)",5,1.6543061856066672
0.001,"[200, 200]",gaussian,512,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6550294760855748
0.001,"[100, 100]",gaussian,1,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6559982802872113
0.001,"[150, 150]",gaussian,1,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6576203667341172
0.005,"[200, 200]",gaussian,1772,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6578589916332
0.005,"[100, 100]",gaussian,8,relu,0.0001,"('trivial', 0.5)",5,1.6579751016799098
0.001,"[100, 100]",gaussian,124,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6580369489345146
0.001,"[100, 100]",gaussian,32,tanh,0.0,"('nesterov', 0.5)",8,1.6599203773190614
0.001,"[100, 100]",uniform,124,relu,0.0,"('nesterov', 0.9)",8,1.6601735588471478
0.005,"[100, 100]",gaussian,512,tanh,0.0001,"('trivial', 0.9)",5,1.6604974509016788
0.005,"[150, 150]",gaussian,8,relu,0.0,"('nesterov', 0.5)",5,1.6605409423094035
0.0005,"[100, 100]",gaussian,1,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6615431510710448
0.005,"[150, 150]",gaussian,124,relu,0.0001,"('trivial', 0.0)",5,1.662043835151379
0.0005,"[200, 200]",gaussian,8,relu,0.0001,"('trivial', 0.9)",5,1.6624002986201298
0.001,"[100, 100]",uniform,124,tanh,0.001,"('nesterov', 0.9)",8,1.6625499372919508
0.005,"[150, 150]",gaussian,124,relu,0.0,"('trivial', 0.0)",5,1.6627430135284589
0.0005,"[200, 200]",gaussian,4,relu,0.0,"('trivial', 0.9)",5,1.6628287887045077
0.001,"[150, 150]",gaussian,8,relu,0.0001,"('nesterov', 0.9)",5,1.662896308187424
0.01,"[100, 100]",uniform,124,tanh,0.0,"('trivial', 0.0)",8,1.6633900605047132
0.0005,"[200, 200]",gaussian,1,relu,0.0,"('trivial', 0.0)",5,1.6634770064717554
0.0005,"[200, 200]",gaussian,1,relu,0.0001,"('nesterov', 0.5)",5,1.6641306214040257
0.001,"[100, 100]",gaussian,124,relu,0.001,"('trivial', 0.9)",8,1.664916679234164
0.001,"[100, 100]",uniform,4,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6653083505129582
0.005,"[150, 150]",gaussian,4,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6653088212375151
0.005,"[200, 200]",gaussian,8,logistic,0.0,"('trivial', 0.0)",5,1.6660449826864758
0.005,"[100, 100]",gaussian,124,tanh,0.0,"('trivial', 0.5)",5,1.6672164608061766
0.001,"[200, 200]",gaussian,124,relu,0.0,"('trivial', 0.9)",5,1.6672191415651318
0.001,"[150, 150]",gaussian,124,relu,0.0001,"('nesterov', 0.9)",5,1.668644292064431
0.001,"[150, 150]",gaussian,1,relu,0.0001,"('trivial', 0.0)",5,1.6699684781756357
0.0001,"[100, 100]",gaussian,4,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6700303994113932
0.01,"[100, 100]",gaussian,8,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",8,1.6711289930571631
0.005,"[100, 100]",gaussian,512,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6716847650672004
0.001,"[150, 150]",gaussian,8,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.6717570350809363
0.0005,"[200, 200]",gaussian,4,relu,0.0001,"('nesterov', 0.9)",5,1.671848545702733
0.001,"[100, 100]",gaussian,124,relu,0.0,"('nesterov', 0.9)",5,1.671934365894682
0.0005,"[150, 150]",gaussian,8,relu,0.0,"('trivial', 0.0)",5,1.6732389001279309
0.001,"[100, 100]",gaussian,32,relu,0.001,"('nesterov', 0.5)",8,1.674611619654113
0.005,"[100, 100]",gaussian,124,relu,0.0001,"('trivial', 0.5)",5,1.6746394231819868
0.0005,"[150, 150]",gaussian,8,tanh,0.0001,"('trivial', 0.0)",5,1.675528650550497
0.001,"[100, 100]",uniform,32,tanh,0.0,"('trivial', 0.5)",8,1.6762102789905042
0.0005,"[200, 200]",gaussian,1,relu,0.0,"('trivial', 0.5)",5,1.6779017218230041
0.005,"[150, 150]",gaussian,512,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6785084258837752
0.001,"[200, 200]",gaussian,4,relu,0.0001,"('nesterov', 0.5)",5,1.678947916198026
0.001,"[100, 100]",gaussian,1,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6790800725209856
0.0005,"[150, 150]",gaussian,8,relu,0.0001,"('trivial', 0.9)",5,1.6793386290787176
0.001,"[150, 150]",gaussian,4,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.6799497150593314
